chrI	650	1791	1
chrI	6136	7136	1
chrI	7998	8548	1
chrI	9775	10485	0
chrI	16855	17565	0
chrI	30946	31184	1
chrI	40716	43300	1
chrI	70258	70491	1
chrI	98769	105769	0
chrI	124350	124599	1
chrI	136900	137900	1
chrI	146703	147690	1
chrI	159906	160127	1
chrI	162000	170000	0
chrI	176154	176402	1
chrI	197385	198095	0
chrI	202769	209769	0
chrI	214879	215635	1
chrI	222871	224037	1
chrI	226100	227000	1
chrI	229635	230208	0
chrII	39	686	1
chrII	6123	7127	1
chrII	28933	29152	1
chrII	38623	39068	1
chrII	63186	63421	1
chrII	70650	73350	0
chrII	93410	93811	1
chrII	142868	144016	1
chrII	170049	170298	1
chrII	177529	177877	1
chrII	187205	187915	0
chrII	198193	198434	1
chrII	209187	210063	1
chrII	237644	237879	1
chrII	254890	255136	1
chrII	258430	259601	0
chrII	283015	283913	1
chrII	326099	326335	1
chrII	378434	379194	1
chrII	389245	390368	1
chrII	407831	408064	1
chrII	417739	418035	1
chrII	440859	441697	1
chrII	486661	486909	1
chrII	497650	499350	0
chrII	503701	505102	0
chrII	516805	517805	1
chrII	539137	539699	1
chrII	543600	553600	0
chrII	582650	584350	0
chrII	591424	591713	1
chrII	611269	613200	1
chrII	622625	622894	1
chrII	627135	627845	0
chrII	631934	632246	1
chrII	675947	676667	1
chrII	704250	704521	1
chrII	707158	708262	1
chrII	720601	721038	1
chrII	741512	741802	1
chrII	757390	757621	1
chrII	760355	761713	0
chrII	773918	774348	1
chrII	792116	792340	1
chrII	796259	797162	1
chrII	801930	802617	1
chrIII	837	1551	1
chrIII	11145	11401	1
chrIII	11303	14854	1
chrIII	14574	14849	1
chrIII	14870	15213	1
chrIII	15213	16274	1
chrIII	30199	30657	1
chrIII	39158	39706	1
chrIII	74457	74677	1
chrIII	108775	109291	1
chrIII	114314	114933	1
chrIII	131978	132322	1
chrIII	166494	167340	1
chrIII	194256	194505	1
chrIII	197369	197601	1
chrIII	199935	200645	0
chrIII	203876	207534	1
chrIII	224807	225053	1
chrIII	272844	273088	1
chrIII	292524	292826	1
chrIII	294396	295027	1
chrIII	304363	311363	0
chrIII	315346	316232	1
chrIV	137	1392	1
chrIV	7596	11052	0
chrIV	15492	15739	1
chrIV	21265	22262	1
chrIV	46181	46237	1
chrIV	50245	50955	0
chrIV	85945	86177	1
chrIV	95435	96145	0
chrIV	100380	101355	1
chrIV	123617	123902	1
chrIV	137445	137808	1
chrIV	157744	158235	1
chrIV	212420	212669	1
chrIV	232140	232618	1
chrIV	235935	236184	1
chrIV	253789	254038	1
chrIV	256029	257132	0
chrIV	316719	317111	1
chrIV	329564	329813	1
chrIV	350835	351804	1
chrIV	408070	408312	1
chrIV	435056	435388	1
chrIV	443318	444447	0
chrIV	462430	462700	1
chrIV	476003	477577	0
chrIV	483846	484091	1
chrIV	505336	505578	1
chrIV	555224	555461	1
chrIV	567490	567737	1
chrIV	629072	629669	1
chrIV	639859	640108	1
chrIV	641291	648291	0
chrIV	702879	703125	1
chrIV	719873	721227	0
chrIV	748384	748630	1
chrIV	753159	753391	1
chrIV	806044	806270	1
chrIV	844597	845593	1
chrIV	858640	859840	0
chrIV	875791	882791	0
chrIV	898253	899887	0
chrIV	903824	904655	1
chrIV	913780	914029	1
chrIV	921682	921930	1
chrIV	942983	943975	1
chrIV	970250	980250	0
chrIV	1016624	1016922	1
chrIV	1021545	1022255	0
chrIV	1033069	1034182	1
chrIV	1057828	1058076	1
chrIV	1109955	1110196	1
chrIV	1130672	1131155	1
chrIV	1159250	1159499	1
chrIV	1165998	1166221	1
chrIV	1199800	1209800	0
chrIV	1240869	1241098	1
chrIV	1276212	1276440	1
chrIV	1302579	1302819	1
chrIV	1307650	1308850	0
chrIV	1353494	1353667	1
chrIV	1379198	1380752	0
chrIV	1385151	1385630	1
chrIV	1404277	1404512	1
chrIV	1447298	1448928	1
chrIV	1454012	1455590	0
chrIV	1461849	1462161	1
chrIV	1486905	1487149	1
chrIV	1495291	1502291	0
chrIV	1502624	1503221	1
chrIV	1505300	1507153	0
chrIV	1522298	1526152	0
chrIX	6794	9748	0
chrIX	15901	19066	0
chrIX	30065	31646	0
chrIX	33335	33803	1
chrIX	73803	74220	1
chrIX	80058	80557	1
chrIX	105821	106048	1
chrIX	136094	136335	1
chrIX	162936	163302	1
chrIX	175034	175355	1
chrIX	179591	186591	0
chrIX	189523	190747	0
chrIX	201591	208591	0
chrIX	214675	214826	1
chrIX	216591	223591	0
chrIX	224943	227297	0
chrIX	245694	245932	1
chrIX	247579	247800	1
chrIX	247893	249347	0
chrIX	279618	280818	0
chrIX	310583	311070	1
chrIX	341853	342096	1
chrIX	357156	357393	1
chrIX	405633	407617	0
chrIX	411817	412053	1
chrIX	432496	432994	1
chrIX	437553	439847	0
chrV	4097	4185	1
chrV	6464	7230	1
chrV	8786	10019	1
chrV	11713	12194	1
chrV	17067	19023	0
chrV	59282	59516	1
